Data Store	Retrieval & Decryption	Sum computation	Total
Experiment number #0
S3	8220.0	13.0	8233.0
S3	8110.0	13.0	8123.0
S3	8530.0	14.0	8544.0
S3	8746.0	13.0	8759.0
S3	9063.0	16.0	9079.0
S3	8452.0	16.0	8468.0
S3	9233.0	17.0	9250.0
S3	8495.0	13.0	8508.0
S3	8752.0	13.0	8765.0
S3	8859.0	18.0	8877.0
S3	8594.0	14.0	8608.0
S3	9184.0	14.0	9198.0
S3	9140.0	14.0	9154.0
S3	10123.0	15.0	10138.0
S3	10664.0	13.0	10677.0
S3	9622.0	14.0	9636.0
S3	9105.0	14.0	9119.0
S3	9034.0	14.0	9048.0
S3	8846.0	14.0	8860.0
S3	9522.0	18.0	9540.0
S3	9086.0	15.0	9101.0
S3	9340.0	18.0	9358.0
S3	9508.0	13.0	9521.0
S3	9816.0	13.0	9829.0
S3	9167.0	12.0	9179.0
S3	9523.0	17.0	9540.0
S3	9426.0	14.0	9440.0
S3	9590.0	14.0	9604.0
S3	9462.0	15.0	9477.0
S3	9697.0	15.0	9712.0
S3	9641.0	16.0	9657.0
S3	9442.0	14.0	9456.0
S3	9575.0	14.0	9589.0
S3	9514.0	15.0	9529.0
S3	9329.0	15.0	9344.0
S3	9438.0	15.0	9453.0
S3	10420.0	14.0	10434.0
S3	10724.0	15.0	10739.0
S3	10538.0	16.0	10554.0
S3	10435.0	15.0	10450.0
S3	9820.0	16.0	9836.0
S3	10398.0	15.0	10413.0
S3	9972.0	16.0	9988.0
S3	10011.0	16.0	10027.0
S3	9606.0	16.0	9622.0
S3	10030.0	15.0	10045.0
S3	10183.0	15.0	10198.0
S3	10740.0	16.0	10756.0
S3	10872.0	15.0	10887.0
S3	10379.0	16.0	10395.0
S3	10483.0	16.0	10499.0
S3	9812.0	16.0	9828.0
S3	11068.0	16.0	11084.0
S3	10740.0	16.0	10756.0
S3	10030.0	16.0	10046.0
S3	10065.0	18.0	10083.0
S3	10493.0	16.0	10509.0
S3	9952.0	16.0	9968.0
S3	10436.0	17.0	10453.0
S3	10166.0	16.0	10182.0
S3	10201.0	17.0	10218.0
S3	10532.0	16.0	10548.0
S3	10611.0	18.0	10629.0
S3	10136.0	16.0	10152.0
S3	10094.0	20.0	10114.0
S3	11045.0	19.0	11064.0
S3	10415.0	15.0	10430.0
S3	10749.0	16.0	10765.0
S3	10675.0	17.0	10692.0
S3	10163.0	19.0	10182.0
S3	10690.0	17.0	10707.0
S3	10295.0	17.0	10312.0
S3	10849.0	16.0	10865.0
S3	11996.0	19.0	12015.0
S3	11136.0	17.0	11153.0
S3	10927.0	16.0	10943.0
S3	11174.0	19.0	11193.0
S3	11053.0	18.0	11071.0
S3	12257.0	19.0	12276.0
S3	10848.0	19.0	10867.0
S3	10720.0	19.0	10739.0
S3	11823.0	19.0	11842.0
S3	11071.0	20.0	11091.0
S3	10784.0	18.0	10802.0
S3	11297.0	16.0	11313.0
S3	10854.0	19.0	10873.0
S3	11797.0	18.0	11815.0
S3	12424.0	19.0	12443.0
S3	10647.0	18.0	10665.0
S3	10687.0	20.0	10707.0
S3	11390.0	16.0	11406.0
S3	11150.0	20.0	11170.0
S3	11195.0	19.0	11214.0
S3	11177.0	22.0	11199.0
S3	11064.0	24.0	11088.0
S3	11032.0	20.0	11052.0
S3	11597.0	16.0	11613.0
S3	12128.0	17.0	12145.0
S3	12399.0	18.0	12417.0
S3	10950.0	20.0	10970.0
S3	11166.0	20.0	11186.0
S3	11789.0	24.0	11813.0
S3	12569.0	18.0	12587.0
S3	12587.0	20.0	12607.0
S3	11881.0	20.0	11901.0
S3	11867.0	22.0	11889.0
S3	11411.0	20.0	11431.0
S3	12431.0	18.0	12449.0
S3	11603.0	21.0	11624.0
S3	14293.0	20.0	14313.0
S3	11838.0	21.0	11859.0
S3	12068.0	19.0	12087.0
S3	14948.0	17.0	14965.0
S3	11842.0	21.0	11863.0
S3	12804.0	20.0	12824.0
S3	13047.0	18.0	13065.0
S3	11938.0	19.0	11957.0
S3	13346.0	22.0	13368.0
S3	12092.0	21.0	12113.0
S3	13622.0	19.0	13641.0
S3	13211.0	22.0	13233.0
S3	11720.0	20.0	11740.0
S3	11730.0	20.0	11750.0
S3	12030.0	18.0	12048.0
S3	12553.0	20.0	12573.0
S3	12121.0	22.0	12143.0
S3	12107.0	25.0	12132.0
S3	12267.0	20.0	12287.0
S3	12228.0	21.0	12249.0
S3	12084.0	19.0	12103.0
S3	13581.0	19.0	13600.0
S3	12610.0	23.0	12633.0
S3	14792.0	21.0	14813.0
S3	12468.0	20.0	12488.0
S3	13968.0	21.0	13989.0
S3	12824.0	22.0	12846.0
S3	13875.0	21.0	13896.0
S3	13046.0	21.0	13067.0
S3	12670.0	22.0	12692.0
S3	13926.0	26.0	13952.0
S3	12509.0	21.0	12530.0
S3	13582.0	22.0	13604.0
S3	12617.0	22.0	12639.0
S3	13529.0	22.0	13551.0
S3	12456.0	20.0	12476.0
S3	12678.0	21.0	12699.0
S3	13810.0	21.0	13831.0
S3	13310.0	22.0	13332.0
S3	12998.0	25.0	13023.0
S3	14083.0	21.0	14104.0
S3	12657.0	22.0	12679.0
S3	13219.0	22.0	13241.0
S3	12973.0	21.0	12994.0
S3	13706.0	22.0	13728.0
S3	13610.0	25.0	13635.0
S3	15123.0	21.0	15144.0
S3	13719.0	21.0	13740.0
S3	13422.0	22.0	13444.0
S3	13674.0	21.0	13695.0
S3	13199.0	27.0	13226.0
S3	13022.0	20.0	13042.0
S3	14402.0	20.0	14422.0
S3	13155.0	24.0	13179.0
S3	13417.0	21.0	13438.0
S3	14820.0	22.0	14842.0
S3	13514.0	27.0	13541.0
S3	14948.0	23.0	14971.0
S3	16050.0	23.0	16073.0
S3	14614.0	24.0	14638.0
S3	13287.0	23.0	13310.0
S3	14364.0	21.0	14385.0
S3	13395.0	45.0	13440.0
S3	16081.0	22.0	16103.0
S3	17751.0	23.0	17774.0
S3	13412.0	22.0	13434.0
S3	13751.0	24.0	13775.0
S3	14414.0	23.0	14437.0
S3	15350.0	23.0	15373.0
S3	14448.0	22.0	14470.0
S3	14590.0	22.0	14612.0
S3	14316.0	24.0	14340.0
S3	15207.0	22.0	15229.0
S3	13681.0	24.0	13705.0
S3	14321.0	22.0	14343.0
S3	16540.0	25.0	16565.0
S3	13690.0	24.0	13714.0
S3	14759.0	24.0	14783.0
S3	13987.0	23.0	14010.0
S3	14010.0	23.0	14033.0
S3	13930.0	26.0	13956.0
S3	14535.0	22.0	14557.0
S3	15553.0	26.0	15579.0
S3	13948.0	25.0	13973.0
S3	14133.0	23.0	14156.0
S3	15294.0	21.0	15315.0
S3	14281.0	21.0	14302.0
S3	15273.0	23.0	15296.0
S3	15119.0	25.0	15144.0
S3	16612.0	24.0	16636.0
S3	15008.0	22.0	15030.0
S3	18337.0	23.0	18360.0
S3	14592.0	24.0	14616.0
S3	15159.0	24.0	15183.0
S3	15822.0	21.0	15843.0
S3	14747.0	21.0	14768.0
S3	14965.0	28.0	14993.0
S3	14664.0	24.0	14688.0
S3	16182.0	24.0	16206.0
S3	15266.0	27.0	15293.0
S3	15272.0	26.0	15298.0
S3	16512.0	24.0	16536.0
S3	16220.0	23.0	16243.0
S3	15369.0	24.0	15393.0
S3	14894.0	28.0	14922.0
S3	17053.0	29.0	17082.0
S3	18893.0	32.0	18925.0
S3	15068.0	25.0	15093.0
S3	15394.0	25.0	15419.0
S3	15746.0	26.0	15772.0
S3	15013.0	26.0	15039.0
S3	16206.0	22.0	16228.0
S3	15182.0	25.0	15207.0
S3	16692.0	24.0	16716.0
S3	15576.0	152.0	15728.0
S3	15181.0	23.0	15204.0
S3	15912.0	26.0	15938.0
S3	15912.0	23.0	15935.0
S3	16615.0	23.0	16638.0
S3	16514.0	26.0	16540.0
S3	16569.0	25.0	16594.0
S3	15626.0	24.0	15650.0
S3	15782.0	26.0	15808.0
S3	15700.0	24.0	15724.0
S3	17593.0	27.0	17620.0
S3	15514.0	23.0	15537.0
S3	15419.0	23.0	15442.0
S3	16871.0	23.0	16894.0
S3	16510.0	25.0	16535.0
S3	16231.0	25.0	16256.0
S3	17416.0	23.0	17439.0
S3	17046.0	32.0	17078.0
S3	16850.0	25.0	16875.0
S3	16827.0	25.0	16852.0
S3	17297.0	26.0	17323.0
S3	17090.0	25.0	17115.0
S3	15870.0	25.0	15895.0
S3	17096.0	25.0	17121.0
S3	16753.0	26.0	16779.0
S3	16656.0	24.0	16680.0
S3	17230.0	23.0	17253.0
S3	17531.0	26.0	17557.0
S3	15786.0	22.0	15808.0
S3	16757.0	28.0	16785.0
S3	16873.0	26.0	16899.0
S3	16663.0	26.0	16689.0
S3	16507.0	26.0	16533.0
S3	16223.0	25.0	16248.0
