Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	13.18	4.01	1.10	18.29
TimeCrypt Baseline	5.04	3.93	7.64	16.61
TimeCrypt Baseline	2.96	3.94	1.08	7.98
TimeCrypt Baseline	10.40	3.96	1.09	15.44
TimeCrypt Baseline	9.88	3.78	1.08	14.74
TimeCrypt Baseline	10.33	3.73	1.11	15.17
TimeCrypt Baseline	20.28	3.62	1.02	24.93
TimeCrypt Baseline	16.54	3.92	1.14	21.60
TimeCrypt Baseline	5.13	3.99	1.13	10.25
TimeCrypt Baseline	9.94	3.78	1.07	14.78
TimeCrypt Baseline	10.21	3.84	1.13	15.17
TimeCrypt Baseline	9.97	3.81	1.04	14.83
TimeCrypt Baseline	22.59	3.72	1.08	27.38
TimeCrypt Baseline	3.30	4.14	1.13	8.57
TimeCrypt Baseline	2.54	4.07	1.09	7.70
TimeCrypt Baseline	3.40	3.82	1.10	8.32
TimeCrypt Baseline	3.21	4.03	1.14	8.39
TimeCrypt Baseline	3.40	4.06	1.15	8.60
TimeCrypt Baseline	2.63	4.06	1.11	7.80
TimeCrypt Baseline	3.34	3.86	1.12	8.32
TimeCrypt Baseline	2.60	3.94	1.10	7.65
TimeCrypt Baseline	2.72	3.87	1.13	7.72
TimeCrypt Baseline	2.38	4.00	1.17	7.56
TimeCrypt Baseline	2.49	4.04	1.10	7.63
TimeCrypt Baseline	2.55	4.08	1.15	7.77
TimeCrypt Baseline	2.47	4.10	1.14	7.71
TimeCrypt Baseline	2.51	4.05	1.09	7.65
TimeCrypt Baseline	2.82	6.24	0.94	10.00
TimeCrypt Baseline	2.56	4.18	1.08	7.81
TimeCrypt Baseline	2.76	4.14	1.15	8.05
TimeCrypt Baseline	10.01	3.99	1.08	15.08
TimeCrypt Baseline	21.12	4.00	1.07	26.18
TimeCrypt Baseline	10.99	3.94	1.17	16.10
TimeCrypt Baseline	8.73	4.06	1.09	13.88
TimeCrypt Baseline	10.05	4.09	1.13	15.28
TimeCrypt Baseline	10.10	3.99	1.08	15.18
TimeCrypt Baseline	2.75	4.07	4.04	10.86
TimeCrypt Baseline	9.01	3.82	1.18	14.00
TimeCrypt Baseline	10.03	3.89	1.12	15.03
TimeCrypt Baseline	10.01	3.88	1.12	15.02
TimeCrypt Baseline	3.05	4.13	1.11	8.29
TimeCrypt Baseline	8.36	4.05	1.13	13.54
TimeCrypt Baseline	15.95	3.96	1.12	21.03
TimeCrypt Baseline	12.48	4.07	1.10	17.65
TimeCrypt Baseline	4.99	4.12	1.10	10.21
TimeCrypt Baseline	9.57	3.99	1.17	14.72
TimeCrypt Baseline	10.00	4.01	1.04	15.05
TimeCrypt Baseline	10.07	4.02	1.13	15.23
TimeCrypt Baseline	10.00	4.12	1.14	15.26
TimeCrypt Baseline	4.01	4.29	1.15	9.44
TimeCrypt Baseline	10.30	3.88	1.12	15.30
TimeCrypt Baseline	9.97	3.94	18.48	32.38
TimeCrypt Baseline	3.94	3.79	1.14	8.86
TimeCrypt Baseline	11.28	4.41	1.14	16.84
TimeCrypt Baseline	2.66	4.02	1.08	7.75
TimeCrypt Baseline	11.67	3.96	1.17	16.80
TimeCrypt Baseline	3.43	4.13	9.19	16.74
TimeCrypt Baseline	2.80	4.12	1.08	8.00
TimeCrypt Baseline	10.72	4.09	1.20	16.01
TimeCrypt Baseline	10.08	4.22	1.15	15.45
TimeCrypt Baseline	2.63	4.02	9.20	15.85
TimeCrypt Baseline	2.69	4.05	1.13	7.87
TimeCrypt Baseline	19.55	4.01	1.14	24.70
TimeCrypt Baseline	3.56	4.12	1.21	8.88
TimeCrypt Baseline	14.09	4.07	1.16	19.32
TimeCrypt Baseline	2.82	4.29	9.24	16.35
TimeCrypt Baseline	2.81	4.71	1.21	8.73
TimeCrypt Baseline	10.02	4.11	1.22	15.35
TimeCrypt Baseline	17.38	4.14	1.18	22.70
TimeCrypt Baseline	9.74	4.34	1.09	15.17
TimeCrypt Baseline	2.82	4.20	1.19	8.21
TimeCrypt Baseline	11.36	4.17	1.15	16.68
TimeCrypt Baseline	9.93	4.07	1.12	15.12
TimeCrypt Baseline	3.58	4.08	18.03	25.69
TimeCrypt Baseline	11.19	4.27	1.13	16.59
TimeCrypt Baseline	2.85	4.09	1.15	8.09
TimeCrypt Baseline	11.30	4.20	1.13	16.63
TimeCrypt Baseline	10.05	4.14	1.14	15.33
TimeCrypt Baseline	2.70	4.22	9.16	16.09
TimeCrypt Baseline	15.99	3.94	1.19	21.12
TimeCrypt Baseline	3.79	4.09	1.07	8.95
TimeCrypt Baseline	12.33	11.05	1.21	24.59
TimeCrypt Baseline	5.88	4.38	1.18	11.44
TimeCrypt Baseline	2.83	4.23	9.15	16.21
TimeCrypt Baseline	3.72	4.21	1.15	9.08
TimeCrypt Baseline	10.07	11.37	16.58	38.02
TimeCrypt Baseline	4.11	4.40	9.27	17.78
TimeCrypt Baseline	2.81	4.40	1.22	8.43
TimeCrypt Baseline	9.89	4.37	1.20	15.46
TimeCrypt Baseline	2.83	4.19	9.16	16.17
TimeCrypt Baseline	2.75	4.37	1.21	8.32
TimeCrypt Baseline	10.39	21.09	1.13	32.61
TimeCrypt Baseline	13.33	4.29	1.17	18.78
TimeCrypt Baseline	2.86	4.15	1.21	8.21
TimeCrypt Baseline	11.23	4.15	1.24	16.62
TimeCrypt Baseline	13.47	4.29	1.18	18.94
TimeCrypt Baseline	10.15	4.33	1.19	15.66
TimeCrypt Baseline	8.55	15.32	1.23	25.10
TimeCrypt Baseline	5.52	4.08	1.12	10.71
TimeCrypt Baseline	4.15	4.22	9.35	17.72
TimeCrypt Baseline	3.56	4.13	1.20	8.89
TimeCrypt Baseline	10.08	4.23	1.21	15.52
TimeCrypt Baseline	8.71	4.22	1.13	14.06
TimeCrypt Baseline	10.05	4.46	1.25	15.76
TimeCrypt Baseline	3.18	4.25	1.22	8.65
TimeCrypt Baseline	11.01	4.29	1.07	16.37
TimeCrypt Baseline	10.09	4.43	1.07	15.60
TimeCrypt Baseline	2.92	4.56	14.65	22.13
TimeCrypt Baseline	3.56	4.59	8.06	16.20
TimeCrypt Baseline	4.01	4.44	1.02	9.47
TimeCrypt Baseline	2.86	4.46	1.10	8.42
TimeCrypt Baseline	2.77	4.48	1.04	8.29
TimeCrypt Baseline	2.78	4.57	1.07	8.42
TimeCrypt Baseline	2.65	4.49	1.09	8.24
TimeCrypt Baseline	2.99	4.27	1.06	8.32
TimeCrypt Baseline	3.67	4.46	1.11	9.24
TimeCrypt Baseline	3.68	13.74	1.01	18.43
TimeCrypt Baseline	3.75	4.34	1.06	9.14
TimeCrypt Baseline	3.71	4.17	1.07	8.95
TimeCrypt Baseline	2.72	4.39	1.07	8.18
TimeCrypt Baseline	3.62	4.26	1.10	8.98
TimeCrypt Baseline	2.95	4.24	1.07	8.26
TimeCrypt Baseline	3.20	4.37	1.15	8.72
TimeCrypt Baseline	2.94	4.53	1.08	8.55
TimeCrypt Baseline	3.69	4.53	1.07	9.30
TimeCrypt Baseline	3.79	4.54	1.07	9.39
TimeCrypt Baseline	13.28	4.24	1.07	18.59
TimeCrypt Baseline	3.67	4.35	1.09	9.11
TimeCrypt Baseline	3.03	4.26	1.11	8.39
TimeCrypt Baseline	3.82	4.32	1.07	9.21
TimeCrypt Baseline	3.66	4.31	1.13	9.10
TimeCrypt Baseline	2.92	4.33	1.09	8.34
TimeCrypt Baseline	3.81	4.53	1.12	9.46
TimeCrypt Baseline	3.65	4.59	1.08	9.32
TimeCrypt Baseline	3.04	4.62	1.10	8.76
TimeCrypt Baseline	2.95	4.46	1.13	8.54
TimeCrypt Baseline	3.77	14.50	1.11	19.38
TimeCrypt Baseline	3.64	4.70	1.07	9.41
TimeCrypt Baseline	3.61	4.60	1.06	9.27
TimeCrypt Baseline	2.89	4.60	1.08	8.57
TimeCrypt Baseline	3.03	4.57	1.12	8.73
TimeCrypt Baseline	3.04	4.68	1.09	8.81
TimeCrypt Baseline	3.63	4.67	1.10	9.40
TimeCrypt Baseline	3.77	4.63	1.10	9.51
TimeCrypt Baseline	3.54	4.60	1.13	9.27
TimeCrypt Baseline	3.72	4.68	1.10	9.49
TimeCrypt Baseline	3.03	4.37	1.04	8.43
TimeCrypt Baseline	3.60	12.63	1.01	17.23
TimeCrypt Baseline	2.95	4.74	1.13	8.82
TimeCrypt Baseline	2.92	4.44	1.03	8.39
TimeCrypt Baseline	3.63	4.58	1.11	9.32
TimeCrypt Baseline	3.77	4.49	1.12	9.38
TimeCrypt Baseline	3.70	4.49	1.12	9.31
TimeCrypt Baseline	4.32	4.55	1.10	9.97
TimeCrypt Baseline	3.99	4.51	1.08	9.58
TimeCrypt Baseline	3.80	4.54	8.64	16.98
TimeCrypt Baseline	5.28	4.56	1.04	10.88
TimeCrypt Baseline	3.89	4.71	1.22	9.82
TimeCrypt Baseline	3.87	4.57	1.14	9.59
TimeCrypt Baseline	3.27	4.57	1.08	8.92
TimeCrypt Baseline	3.76	4.65	1.15	9.56
TimeCrypt Baseline	3.74	4.76	1.15	9.65
TimeCrypt Baseline	3.88	4.76	1.11	9.75
TimeCrypt Baseline	3.81	4.69	1.12	9.62
TimeCrypt Baseline	3.71	4.44	1.17	9.32
TimeCrypt Baseline	3.90	14.05	1.11	19.06
TimeCrypt Baseline	3.67	4.70	1.11	9.48
TimeCrypt Baseline	3.72	4.72	1.15	9.59
TimeCrypt Baseline	3.67	4.57	1.13	9.37
TimeCrypt Baseline	3.79	4.67	1.11	9.57
TimeCrypt Baseline	3.75	4.69	1.17	9.61
TimeCrypt Baseline	4.60	4.67	1.10	10.37
TimeCrypt Baseline	3.79	4.64	1.20	9.63
TimeCrypt Baseline	2.94	4.77	1.14	8.85
TimeCrypt Baseline	2.97	16.61	1.17	20.76
TimeCrypt Baseline	3.69	4.78	1.06	9.54
TimeCrypt Baseline	3.02	4.78	1.15	8.96
TimeCrypt Baseline	3.70	4.50	1.05	9.25
TimeCrypt Baseline	3.74	4.67	1.13	9.54
TimeCrypt Baseline	3.85	4.68	1.11	9.64
TimeCrypt Baseline	3.79	4.75	1.15	9.69
TimeCrypt Baseline	3.90	4.49	1.13	9.51
TimeCrypt Baseline	3.60	4.54	1.12	9.26
TimeCrypt Baseline	3.67	15.39	1.11	20.17
TimeCrypt Baseline	3.72	4.72	1.12	9.56
TimeCrypt Baseline	3.80	4.45	1.19	9.43
TimeCrypt Baseline	3.74	4.58	1.13	9.45
TimeCrypt Baseline	3.96	4.71	1.15	9.81
TimeCrypt Baseline	3.69	4.63	1.20	9.53
TimeCrypt Baseline	3.04	4.73	1.11	8.87
TimeCrypt Baseline	2.87	4.81	1.08	8.77
TimeCrypt Baseline	4.38	4.80	1.17	10.35
TimeCrypt Baseline	3.91	15.29	1.11	20.31
TimeCrypt Baseline	3.69	4.75	1.16	9.60
TimeCrypt Baseline	3.01	4.69	1.16	8.85
TimeCrypt Baseline	6.16	4.65	1.14	11.95
TimeCrypt Baseline	3.85	4.63	1.13	9.61
TimeCrypt Baseline	3.25	4.65	1.11	9.01

*** Baseline MAX ***
TimeCrypt Baseline	7.42	0.14	0.07	7.62
TimeCrypt Baseline	0.93	0.09	0.03	1.05
TimeCrypt Baseline	0.88	0.09	0.06	1.03
TimeCrypt Baseline	0.90	0.10	0.06	1.07
TimeCrypt Baseline	0.91	0.16	0.08	1.16
TimeCrypt Baseline	0.97	0.17	0.11	1.25
TimeCrypt Baseline	0.93	0.18	0.12	1.23
TimeCrypt Baseline	0.92	0.21	0.11	1.24
TimeCrypt Baseline	0.96	0.23	0.11	1.30
TimeCrypt Baseline	0.99	0.26	0.16	1.42
TimeCrypt Baseline	0.94	0.26	0.19	1.39
TimeCrypt Baseline	1.01	0.28	0.12	1.41
TimeCrypt Baseline	9.04	0.30	0.10	9.43
TimeCrypt Baseline	0.97	0.33	0.12	1.41
TimeCrypt Baseline	12.69	0.36	0.10	13.15
TimeCrypt Baseline	6.16	0.35	0.09	6.60
TimeCrypt Baseline	0.99	0.37	0.09	1.45
