Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	5.91	4.05	1.00	10.96
TimeCrypt Baseline	3.37	4.06	0.99	8.43
TimeCrypt Baseline	3.26	15.40	0.99	19.65
TimeCrypt Baseline	3.72	4.12	1.02	8.86
TimeCrypt Baseline	3.26	4.08	1.01	8.35
TimeCrypt Baseline	3.25	4.07	1.04	8.36
TimeCrypt Baseline	3.28	4.08	1.00	8.35
TimeCrypt Baseline	3.26	4.09	1.02	8.37
TimeCrypt Baseline	3.32	4.11	1.02	8.44
TimeCrypt Baseline	3.30	4.14	1.00	8.44
TimeCrypt Baseline	3.35	4.08	1.01	8.44
TimeCrypt Baseline	9.67	4.11	1.03	14.81
TimeCrypt Baseline	3.28	3.96	0.99	8.23
TimeCrypt Baseline	3.75	4.15	1.04	8.93
TimeCrypt Baseline	3.26	4.11	1.00	8.37
TimeCrypt Baseline	3.30	4.13	1.02	8.45
TimeCrypt Baseline	3.31	4.17	1.01	8.49
TimeCrypt Baseline	3.25	4.13	1.01	8.40
TimeCrypt Baseline	3.30	4.12	1.02	8.44
TimeCrypt Baseline	3.22	4.12	1.05	8.39
TimeCrypt Baseline	3.23	4.14	1.02	8.39
TimeCrypt Baseline	3.24	4.13	1.02	8.40
TimeCrypt Baseline	3.28	4.14	1.04	8.46
TimeCrypt Baseline	11.36	4.01	0.99	16.37
TimeCrypt Baseline	3.61	4.54	1.05	9.20
TimeCrypt Baseline	3.40	4.15	1.02	8.57
TimeCrypt Baseline	3.23	4.15	1.02	8.40
TimeCrypt Baseline	3.37	4.18	1.02	8.57
TimeCrypt Baseline	3.22	4.17	1.03	8.41
TimeCrypt Baseline	3.24	4.16	1.02	8.42
TimeCrypt Baseline	3.40	4.17	1.02	8.59
TimeCrypt Baseline	3.35	4.17	1.05	8.56
TimeCrypt Baseline	3.35	4.17	1.02	8.54
TimeCrypt Baseline	3.55	14.84	1.00	19.39
TimeCrypt Baseline	3.63	4.27	1.05	8.94
TimeCrypt Baseline	3.49	4.48	1.04	9.02
TimeCrypt Baseline	3.45	4.20	1.06	8.71
TimeCrypt Baseline	3.42	4.20	1.04	8.66
TimeCrypt Baseline	3.46	4.23	1.11	8.80
TimeCrypt Baseline	3.44	4.30	1.08	8.83
TimeCrypt Baseline	3.43	4.22	1.09	8.74
TimeCrypt Baseline	2.45	4.23	1.06	7.74
TimeCrypt Baseline	3.43	4.23	1.05	8.71
TimeCrypt Baseline	15.02	4.08	1.05	20.15
TimeCrypt Baseline	3.86	4.28	1.07	9.21
TimeCrypt Baseline	3.43	4.24	1.04	8.71
TimeCrypt Baseline	3.44	4.25	1.06	8.76
TimeCrypt Baseline	3.47	4.28	1.05	8.80
TimeCrypt Baseline	3.46	4.25	1.04	8.76
TimeCrypt Baseline	3.39	4.25	1.05	8.70
TimeCrypt Baseline	3.34	4.27	1.06	8.67
TimeCrypt Baseline	3.39	4.26	1.04	8.69
TimeCrypt Baseline	3.38	4.30	1.06	8.75
TimeCrypt Baseline	13.09	4.12	1.05	18.26
TimeCrypt Baseline	3.65	4.33	1.06	9.04
TimeCrypt Baseline	3.54	4.30	1.07	8.91
TimeCrypt Baseline	4.41	4.31	1.07	9.79
TimeCrypt Baseline	3.52	4.31	1.08	8.91
TimeCrypt Baseline	3.59	4.32	1.10	9.00
TimeCrypt Baseline	3.43	4.31	1.11	8.85
TimeCrypt Baseline	3.39	4.30	1.07	8.77
TimeCrypt Baseline	3.51	4.34	1.09	8.95
TimeCrypt Baseline	3.54	4.34	1.09	8.97
TimeCrypt Baseline	3.44	4.17	1.05	8.67
TimeCrypt Baseline	4.06	4.75	1.15	9.96
TimeCrypt Baseline	3.57	4.32	1.08	8.98
TimeCrypt Baseline	3.61	4.33	1.07	9.00
TimeCrypt Baseline	3.57	4.34	1.09	9.00
TimeCrypt Baseline	3.57	4.34	1.07	8.97
TimeCrypt Baseline	3.48	4.35	1.12	8.95
TimeCrypt Baseline	2.59	4.36	1.07	8.02
TimeCrypt Baseline	3.43	4.36	1.06	8.85
TimeCrypt Baseline	3.57	4.36	1.07	9.00
TimeCrypt Baseline	3.75	4.22	1.09	9.05
TimeCrypt Baseline	3.80	4.43	1.14	9.37
TimeCrypt Baseline	3.51	4.39	1.10	9.01
TimeCrypt Baseline	4.18	4.40	1.14	9.73
TimeCrypt Baseline	3.43	4.41	1.09	8.93
TimeCrypt Baseline	3.42	4.39	1.09	8.90
TimeCrypt Baseline	3.33	4.42	1.09	8.83
TimeCrypt Baseline	3.40	4.40	1.09	8.89
TimeCrypt Baseline	3.66	4.42	1.09	9.16
TimeCrypt Baseline	3.47	4.41	1.09	8.97
TimeCrypt Baseline	5.24	4.45	1.09	10.78
TimeCrypt Baseline	5.70	4.42	1.08	11.20
TimeCrypt Baseline	3.65	4.43	1.09	9.17
TimeCrypt Baseline	3.61	4.43	1.08	9.12
TimeCrypt Baseline	3.58	4.47	1.15	9.20
TimeCrypt Baseline	3.59	4.42	1.09	9.10
