Enc(Paillier): 0.372	Enc(EC ElGamal): 0.010	Enc(OPE): 5.239	Enc(ORE): 0.002
Dec(Paillier): 0.149	Dec(EC ElGamal): 0.015	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.009	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.329	Enc(EC ElGamal): 0.008	Enc(OPE): 4.395	Enc(ORE): 0.002
Dec(Paillier): 0.126	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.351	Enc(EC ElGamal): 0.009	Enc(OPE): 4.341	Enc(ORE): 0.002
Dec(Paillier): 0.143	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.321	Enc(EC ElGamal): 0.008	Enc(OPE): 11.802	Enc(ORE): 0.002
Dec(Paillier): 0.129	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.319	Enc(EC ElGamal): 0.009	Enc(OPE): 5.415	Enc(ORE): 0.002
Dec(Paillier): 0.128	Dec(EC ElGamal): 0.008	Dec(OPE): 0.008	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.325	Enc(EC ElGamal): 0.011	Enc(OPE): 4.647	Enc(ORE): 0.003
Dec(Paillier): 0.145	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.356	Enc(EC ElGamal): 0.009	Enc(OPE): 4.516	Enc(ORE): 0.002
Dec(Paillier): 0.160	Dec(EC ElGamal): 0.011	Dec(OPE): 0.003	Dec(ORE): 0.003
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.377	Enc(EC ElGamal): 0.019	Enc(OPE): 4.381	Enc(ORE): 0.002
Dec(Paillier): 0.155	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.346	Enc(EC ElGamal): 0.008	Enc(OPE): 5.369	Enc(ORE): 0.002
Dec(Paillier): 0.170	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.315	Enc(EC ElGamal): 0.009	Enc(OPE): 4.266	Enc(ORE): 0.003
Dec(Paillier): 0.152	Dec(EC ElGamal): 0.010	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.333	Enc(EC ElGamal): 0.009	Enc(OPE): 5.201	Enc(ORE): 0.002
Dec(Paillier): 0.128	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.322	Enc(EC ElGamal): 0.008	Enc(OPE): 5.235	Enc(ORE): 0.003
Dec(Paillier): 0.169	Dec(EC ElGamal): 0.010	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.361	Enc(EC ElGamal): 0.008	Enc(OPE): 5.040	Enc(ORE): 0.002
Dec(Paillier): 0.137	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.331	Enc(EC ElGamal): 0.008	Enc(OPE): 5.169	Enc(ORE): 0.003
Dec(Paillier): 0.139	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.320	Enc(EC ElGamal): 0.008	Enc(OPE): 4.715	Enc(ORE): 0.002
Dec(Paillier): 0.138	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.350	Enc(EC ElGamal): 0.009	Enc(OPE): 5.287	Enc(ORE): 0.002
Dec(Paillier): 0.139	Dec(EC ElGamal): 0.009	Dec(OPE): 0.004	Dec(ORE): 0.003
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.365	Enc(EC ElGamal): 0.010	Enc(OPE): 5.677	Enc(ORE): 0.004
Dec(Paillier): 0.141	Dec(EC ElGamal): 0.009	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.332	Enc(EC ElGamal): 0.009	Enc(OPE): 4.551	Enc(ORE): 0.002
Dec(Paillier): 0.136	Dec(EC ElGamal): 0.011	Dec(OPE): 0.004	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.360	Enc(EC ElGamal): 0.008	Enc(OPE): 4.331	Enc(ORE): 0.002
Dec(Paillier): 0.138	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.333	Enc(EC ElGamal): 0.008	Enc(OPE): 4.041	Enc(ORE): 0.002
Dec(Paillier): 0.131	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.346	Enc(EC ElGamal): 0.008	Enc(OPE): 4.396	Enc(ORE): 0.002
Dec(Paillier): 0.134	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
